Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.969992,0.949875,0.875289,0.911058,0.984316,0.154579,66.731287,20,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.96837,0.949367,0.866051,0.905797,0.982544,0.201739,56.581305,20,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.96837,0.953964,0.861432,0.90534,0.988035,0.129832,72.057287,20,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.967559,0.946835,0.863741,0.903382,0.981111,0.140341,69.795466,20,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.967153,0.955959,0.852194,0.901099,0.975947,0.169993,63.413701,20,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.967153,0.958333,0.849885,0.900857,0.970871,0.21961,52.735133,20,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.967153,0.933498,0.875289,0.903456,0.98377,0.21925,52.812715,20,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.96472,0.95288,0.840647,0.893252,0.979921,0.134261,71.104137,20,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.963909,0.950262,0.838337,0.890798,0.978171,0.189747,59.162405,20,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.963504,0.921376,0.866051,0.892857,0.978963,0.248945,46.421706,20,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.963504,0.921376,0.866051,0.892857,0.984292,0.208183,55.194508,20,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.963098,0.943005,0.840647,0.888889,0.973044,0.197625,57.466858,20,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.962693,0.925187,0.856813,0.889688,0.969248,0.39572,14.832333,20,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.961476,0.961749,0.812933,0.881101,0.980377,0.144678,68.862242,20,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.960665,0.91791,0.852194,0.883832,0.984688,0.252484,45.659993,20,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.959854,0.951351,0.812933,0.876712,0.987592,0.120824,73.995988,20,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.959448,0.944,0.817552,0.876238,0.980493,0.156621,66.291798,20,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.958637,0.961003,0.796767,0.871212,0.976132,0.1539,66.87745,20,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958637,0.938992,0.817552,0.874074,0.978493,0.135398,70.859315,20,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.957826,0.955679,0.796767,0.869018,0.97926,0.131984,71.594105,20,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,233,0.957015,0.952909,0.794457,0.866499,0.97261,0.166592,64.145693,20,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,233,0.957015,0.965812,0.78291,0.864796,0.97363,0.155287,66.578928,20,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.95661,0.924479,0.819861,0.869033,0.978939,0.150656,67.575575,20,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.95661,0.955307,0.789838,0.864728,0.977779,0.150339,67.643822,20,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.954582,0.957265,0.775982,0.857143,0.980652,0.153653,66.930567,20,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.95296,0.970326,0.755196,0.849351,0.979266,0.150597,67.588224,20,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.951744,0.961765,0.755196,0.846054,0.976892,0.155437,66.546669,20,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,233,0.951338,0.933518,0.778291,0.848866,0.974145,0.147422,68.271622,20,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.950527,0.912467,0.794457,0.849383,0.972785,0.148215,68.100971,20,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.949716,0.918699,0.78291,0.845387,0.977922,0.152063,67.272827,20,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.949311,0.9375,0.762125,0.840764,0.975274,0.146262,68.521171,20,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,233,0.942011,0.894022,0.759815,0.821473,0.968222,0.165208,64.443588,20,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.933496,0.892128,0.706697,0.78866,0.965733,0.173692,62.617737,20,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,233,0.927413,0.877976,0.681293,0.76723,0.95785,0.19494,58.044593,20,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896999,0.754986,0.612009,0.67602,0.930809,0.334259,28.060135,20,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.969586,0.949749,0.872979,0.909747,0.978863,0.203411,56.221606,30,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.969586,0.956633,0.866051,0.909091,0.9855,0.158956,65.789294,30,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.968775,0.947236,0.87067,0.907341,0.980682,0.176208,62.076095,30,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.967153,0.946701,0.861432,0.902056,0.981797,0.25362,45.415384,30,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.965937,0.950904,0.849885,0.897561,0.978572,0.131073,71.790199,30,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.965937,0.97035,0.831409,0.895522,0.983411,0.356517,23.269855,30,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.965531,0.930693,0.86836,0.898447,0.982227,0.218309,53.015077,30,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.96472,0.948187,0.845266,0.893773,0.956166,0.310807,33.107492,30,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.964315,0.950392,0.840647,0.892157,0.983209,0.147421,68.271788,30,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.963909,0.967391,0.822171,0.888889,0.985158,0.137521,70.402393,30,0.03,0.1
