Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.964315,0.948052,0.842956,0.892421,0.97707,0.173772,62.600449,10,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.964315,0.919708,0.872979,0.895735,0.987902,0.146555,68.458181,10,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.963909,0.938776,0.849885,0.892121,0.977911,0.164762,64.539584,10,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.963504,0.950131,0.836028,0.889435,0.979448,0.147109,68.33904,10,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.961882,0.929114,0.847575,0.886473,0.9743,0.309683,33.349386,10,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.961476,0.94709,0.82679,0.882861,0.983704,0.135601,70.815805,10,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.960665,0.91791,0.852194,0.883832,0.978716,0.256439,44.808823,10,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.959854,0.956284,0.808314,0.876095,0.978804,0.140833,69.689778,10,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.959854,0.928205,0.836028,0.879708,0.971434,0.196205,57.772409,10,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.959448,0.953678,0.808314,0.875,0.977119,0.156479,66.322235,10,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.959448,0.939314,0.822171,0.876847,0.979656,0.152138,67.256565,10,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.959043,0.956044,0.803695,0.873275,0.979161,0.13053,71.907079,10,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.959043,0.941489,0.817552,0.875155,0.979284,0.158221,65.947302,10,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.958232,0.94837,0.806005,0.871411,0.978714,0.14606,68.564699,10,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.957421,0.979532,0.773672,0.864516,0.975831,0.160676,65.419024,10,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.955393,0.968116,0.771363,0.858612,0.97451,0.158579,65.870348,10,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954582,0.912596,0.819861,0.863747,0.977602,0.155823,66.463555,10,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.954582,0.934959,0.796767,0.860349,0.979219,0.145288,68.730905,10,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.954582,0.910486,0.822171,0.864078,0.980608,0.16602,64.268916,10,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.954177,0.957143,0.773672,0.855683,0.97837,0.142386,69.355428,10,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.953771,0.949296,0.778291,0.85533,0.973912,0.147744,68.202229,10,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.953366,0.951705,0.773672,0.853503,0.978106,0.1488,67.975094,10,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.95296,0.95942,0.764434,0.8509,0.980018,0.159888,65.588707,10,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.952149,0.926829,0.789838,0.852868,0.978296,0.152647,67.147038,10,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.950527,0.938028,0.769053,0.845178,0.973028,0.153243,67.018833,10,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.947283,0.887468,0.801386,0.842233,0.965667,0.215874,53.539307,10,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.942011,0.902778,0.750577,0.819672,0.965385,0.172366,62.90304,10,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.941606,0.889488,0.762125,0.820896,0.968647,0.169415,63.538116,10,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.924169,0.861765,0.676674,0.758085,0.954667,0.201282,56.679676,10,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.909165,0.813814,0.625866,0.707572,0.944306,0.247852,46.65675,10,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896999,0.7507,0.618938,0.678481,0.930674,0.309618,33.363489,10,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.967559,0.944584,0.866051,0.903614,0.983234,0.227162,51.109814,20,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.967153,0.94898,0.859122,0.901818,0.974709,0.285625,38.527239,20,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.966748,0.944304,0.861432,0.900966,0.982878,0.198663,57.243381,20,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.965937,0.950904,0.849885,0.897561,0.967178,0.221781,52.267819,20,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.965531,0.950777,0.847575,0.896215,0.980249,0.20096,56.749067,20,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.965531,0.955497,0.842956,0.895706,0.984523,0.125273,73.038418,20,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.965126,0.930521,0.866051,0.897129,0.983618,0.196112,57.792477,20,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.963909,0.923645,0.866051,0.893921,0.982133,0.27936,39.875685,20,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.962693,0.957105,0.82448,0.885856,0.981114,0.147652,68.221999,20,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.962693,0.931646,0.849885,0.888889,0.975781,0.287356,38.154819,20,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.962287,0.947368,0.831409,0.885609,0.975586,0.210885,54.612956,20,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.961882,0.944882,0.831409,0.884521,0.980476,0.155345,66.566335,20,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.961476,0.942408,0.831409,0.883436,0.974614,0.183066,60.600229,20,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.961476,0.969444,0.806005,0.880202,0.983542,0.146642,68.439444,20,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.961476,0.931122,0.842956,0.884848,0.968793,0.28023,39.688385,20,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.960665,0.949198,0.819861,0.879802,0.985009,0.120535,74.058279,20,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.96026,0.924051,0.842956,0.881643,0.973531,0.448212,3.534984,20,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958637,0.950954,0.806005,0.8725,0.97678,0.165291,64.425879,20,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.958637,0.961003,0.796767,0.871212,0.980847,0.151207,67.456934,20,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.958637,0.963585,0.794457,0.870886,0.979698,0.144001,69.007952,20,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.958232,0.953297,0.801386,0.870765,0.977318,0.156171,66.388592,20,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.957421,0.888626,0.866051,0.877193,0.98187,0.157682,66.063507,20,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.957015,0.957983,0.789838,0.865823,0.972089,0.171781,63.028986,20,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.95661,0.950276,0.794457,0.865409,0.980085,0.130713,71.867759,20,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954988,0.97076,0.766744,0.856774,0.977574,0.14677,68.411998,20,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.954582,0.959885,0.773672,0.856777,0.974486,0.161314,65.281695,20,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.951338,0.935933,0.775982,0.848485,0.976923,0.14294,69.236126,20,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.951338,0.958944,0.755196,0.844961,0.976159,0.159309,65.713239,20,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.950933,0.919355,0.789838,0.849689,0.972865,0.151219,67.45446,20,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.950527,0.930748,0.775982,0.846348,0.973923,0.148955,67.941668,20,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.950122,0.978395,0.732102,0.837517,0.977443,0.152704,67.134695,20,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.946067,0.983871,0.704388,0.820996,0.973362,0.186029,59.962504,20,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.943228,0.888594,0.773672,0.82716,0.968577,0.170711,63.259187,20,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.933496,0.887608,0.711316,0.789744,0.966105,0.171923,62.998352,20,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.927007,0.884498,0.672055,0.76378,0.95922,0.198964,57.178695,20,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896999,0.754986,0.612009,0.67602,0.930918,0.342158,26.360187,20,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.973642,0.962312,0.884527,0.921781,0.985335,0.17284,62.801011,27,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.969181,0.940741,0.879908,0.909308,0.987241,0.193397,58.376729,27,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.969181,0.958869,0.861432,0.907543,0.984419,0.16017,65.527868,27,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.968775,0.947236,0.87067,0.907341,0.983803,0.223535,51.890423,27,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.96837,0.940447,0.875289,0.906699,0.98092,0.215309,53.660782,27,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.967964,0.9425,0.87067,0.905162,0.981153,0.293436,36.846195,27,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.965531,0.948454,0.849885,0.896468,0.973615,0.14833,68.07605,27,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.965126,0.967655,0.829099,0.893035,0.985556,0.131264,71.749175,27,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.963909,0.911483,0.879908,0.895417,0.977941,0.183915,60.417518,27,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.963909,0.936548,0.852194,0.892382,0.974884,0.248717,46.47077,27,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.963504,0.943152,0.842956,0.890244,0.973208,0.218296,53.01798,27,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.963098,0.929648,0.854503,0.890493,0.981031,0.158689,65.846576,27,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.961882,0.972145,0.806005,0.881313,0.982769,0.146987,68.365261,27,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.961071,0.924433,0.847575,0.884337,0.976273,0.200451,56.858503,27,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.960665,0.935233,0.833718,0.881563,0.973504,0.305052,34.346187,27,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.96026,0.944297,0.822171,0.879012,0.980386,0.141511,69.543654,27,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.959448,0.953678,0.808314,0.875,0.979199,0.135825,70.767465,27,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.959448,0.956164,0.806005,0.874687,0.979765,0.134461,71.060974,27,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.959448,0.956164,0.806005,0.874687,0.979294,0.147981,68.151358,27,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.959043,0.956044,0.803695,0.873275,0.976313,0.148599,68.018271,27,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.957826,0.955679,0.796767,0.869018,0.979698,0.132996,71.37636,27,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.957826,0.955679,0.796767,0.869018,0.97501,0.154044,66.846439,27,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.957826,0.96338,0.789838,0.86802,0.97312,0.155656,66.499404,27,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.95661,0.960452,0.785219,0.864041,0.981531,0.150739,67.557611,27,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.954582,0.912596,0.819861,0.863747,0.977997,0.155276,66.58132,27,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.953366,0.962209,0.764434,0.851995,0.976938,0.154656,66.714644,27,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.951744,0.910995,0.803695,0.853988,0.968869,0.161992,65.135805,27,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.950122,0.97546,0.734411,0.837945,0.977531,0.156513,66.314945,27,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.949716,0.930362,0.771363,0.843434,0.976148,0.142992,69.224985,27,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.949311,0.972393,0.732102,0.83531,0.976357,0.169345,63.553305,27,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.948094,0.915531,0.775982,0.84,0.972917,0.155001,66.640361,27,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.946878,0.897368,0.787529,0.838868,0.971016,0.158355,65.918595,27,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.943228,0.892761,0.769053,0.826303,0.968843,0.169269,63.569521,27,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.933901,0.885714,0.715935,0.791826,0.966985,0.169118,63.6022,27,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.92944,0.884273,0.688222,0.774026,0.961911,0.190693,58.958648,27,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.897405,0.757143,0.612009,0.676884,0.930922,0.349682,24.740888,27,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.903082,0.724537,0.722864,0.723699,0.929696,0.239847,48.379616,1,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.903082,0.722477,0.727483,0.724971,0.929172,0.245908,47.075329,1,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.903082,0.721461,0.729792,0.725603,0.929486,0.236615,49.075354,1,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.902676,0.729216,0.709007,0.71897,0.930218,0.241062,48.118194,1,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.902271,0.718182,0.729792,0.72394,0.929583,0.234326,49.567918,1,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.902271,0.734146,0.69515,0.714116,0.930666,0.24069,48.198232,1,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.902271,0.717195,0.732102,0.724571,0.929065,0.236023,49.202625,1,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.901865,0.71754,0.727483,0.722477,0.928984,0.246098,47.034423,1,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.901865,0.715576,0.732102,0.723744,0.929321,0.239183,48.522624,1,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.901865,0.715576,0.732102,0.723744,0.92918,0.238058,48.764744,1,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.901865,0.715576,0.732102,0.723744,0.929257,0.239986,48.34969,1,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.90146,0.716895,0.725173,0.72101,0.929067,0.234932,49.437559,1,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.90146,0.714932,0.729792,0.722286,0.929186,0.23706,48.979629,1,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.90146,0.713004,0.734411,0.723549,0.928846,0.234536,49.522805,1,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.901054,0.713318,0.729792,0.721461,0.928026,0.237864,48.806505,1,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.901054,0.687873,0.799076,0.739316,0.928381,0.237391,48.908309,1,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.901054,0.72028,0.713626,0.716937,0.929218,0.235586,49.296742,1,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.901054,0.684932,0.808314,0.741525,0.928439,0.239308,48.495672,1,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.901054,0.713318,0.729792,0.721461,0.927977,0.238028,48.771267,1,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.901054,0.684932,0.808314,0.741525,0.928233,0.239355,48.485565,1,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.900649,0.717593,0.715935,0.716763,0.928061,0.238306,48.711326,1,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.900649,0.717593,0.715935,0.716763,0.928195,0.238252,48.722943,1,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.900649,0.707965,0.73903,0.723164,0.929002,0.234413,49.549166,1,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.900649,0.717593,0.715935,0.716763,0.927894,0.238621,48.64362,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.900649,0.711712,0.729792,0.720639,0.928027,0.235388,49.3393,1,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.900243,0.725301,0.69515,0.709906,0.929701,0.237666,48.849061,1,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.900243,0.737913,0.669746,0.702179,0.93088,0.244049,47.475419,1,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.900243,0.715935,0.715935,0.715935,0.927884,0.238705,48.625396,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.899838,0.69375,0.769053,0.729463,0.927894,0.23812,48.751332,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.899838,0.69375,0.769053,0.729463,0.928093,0.238173,48.740084,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.899432,0.715618,0.709007,0.712297,0.928785,0.237213,48.946492,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.899027,0.694093,0.759815,0.725469,0.92845,0.235543,49.30609,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.899027,0.733503,0.667436,0.698912,0.930133,0.244383,47.403384,1,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.899027,0.700873,0.741339,0.720539,0.929038,0.233639,49.715774,1,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.898216,0.69697,0.743649,0.719553,0.929047,0.232914,49.871739,1,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.89781,0.741333,0.642032,0.688119,0.930544,0.259252,44.2033,1,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.963504,0.925558,0.861432,0.892344,0.969277,0.217324,53.227127,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.961071,0.942257,0.829099,0.882064,0.972334,0.253881,45.359362,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.96026,0.926209,0.840647,0.881356,0.975963,0.176829,61.94247,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.96026,0.926209,0.840647,0.881356,0.976663,0.176376,62.040069,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958232,0.955801,0.799076,0.87044,0.975162,0.144662,68.865579,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.958232,0.902439,0.854503,0.877817,0.981855,0.170135,63.383318,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.957826,0.920716,0.831409,0.873786,0.975818,0.175096,62.315435,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.957826,0.900243,0.854503,0.876777,0.975214,0.234399,49.55232,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.957826,0.900243,0.854503,0.876777,0.977043,0.162453,65.036518,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.957015,0.882904,0.87067,0.876744,0.972311,0.283382,39.010102,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.957015,0.911839,0.836028,0.872289,0.972836,0.196597,57.688053,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.956204,0.911392,0.831409,0.869565,0.976259,0.161197,65.306826,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.955799,0.917526,0.822171,0.867235,0.976056,0.160993,65.350907,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.955393,0.908861,0.829099,0.86715,0.97869,0.157401,66.123972,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.955393,0.917313,0.819861,0.865854,0.976129,0.178939,61.488404,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.952555,0.905128,0.815242,0.857837,0.97758,0.146597,68.449236,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.952149,0.906977,0.810624,0.856098,0.966213,0.507777,-9.284679,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.951744,0.902564,0.812933,0.855407,0.976791,0.152734,67.128384,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.951744,0.896465,0.819861,0.856454,0.977022,0.166359,64.196003,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.951338,0.888337,0.82679,0.856459,0.977677,0.163987,64.706409,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.951338,0.902314,0.810624,0.854015,0.972341,0.184202,60.355756,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.950527,0.899743,0.808314,0.851582,0.976428,0.156737,66.266726,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.950122,0.918919,0.785219,0.846824,0.961189,0.20216,56.490716,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.949716,0.883375,0.822171,0.851675,0.974287,0.168509,63.733144,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.9485,0.913514,0.7806,0.841843,0.962173,0.219597,52.737889,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.944039,0.871537,0.799076,0.833735,0.962426,0.189442,59.228042,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.942822,0.901099,0.757506,0.823087,0.971558,0.165724,64.332691,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.939984,0.872063,0.771363,0.818627,0.961982,0.189322,59.253871,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.935929,0.868633,0.748268,0.80397,0.961365,0.187369,59.674015,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.931873,0.869081,0.720554,0.787879,0.957969,0.192534,58.562554,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.930251,0.873926,0.704388,0.780051,0.962162,0.184534,60.284192,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.929846,0.843915,0.736721,0.786683,0.959536,0.188685,59.390859,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.928224,0.855556,0.711316,0.776797,0.956574,0.192494,58.571175,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.922952,0.862687,0.667436,0.752604,0.954489,0.20197,56.531718,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.906732,0.785915,0.644342,0.708122,0.94036,0.238838,48.596815,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.895783,0.743094,0.621247,0.67673,0.930586,0.295729,36.35258,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.962693,0.938303,0.842956,0.888078,0.97539,0.165961,64.281681,5,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.960665,0.922111,0.847575,0.883273,0.976699,0.177836,61.725729,5,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958232,0.95082,0.803695,0.871089,0.975166,0.144484,68.903985,5,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.958232,0.925258,0.829099,0.874543,0.976735,0.169032,63.620698,5,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.958232,0.929688,0.82448,0.873929,0.974847,0.166733,64.115325,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.95661,0.903465,0.842956,0.872162,0.971176,0.195017,58.02806,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.956204,0.92876,0.812933,0.866995,0.974973,0.180574,61.136593,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.955799,0.917526,0.822171,0.867235,0.976149,0.160899,65.371108,5,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.955799,0.915385,0.82448,0.867558,0.982114,0.154628,66.720697,5,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.955799,0.895122,0.847575,0.8707,0.982816,0.154118,66.830375,5,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.955799,0.897059,0.845266,0.870392,0.973517,0.174661,62.409058,5,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.954988,0.883333,0.856813,0.869871,0.978053,0.160107,65.541413,5,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.954582,0.910486,0.822171,0.864078,0.97866,0.157513,66.099775,5,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.954582,0.902256,0.831409,0.865385,0.978636,0.148207,68.102526,5,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954177,0.914508,0.815242,0.862027,0.976764,0.160627,65.42964,5,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.95296,0.91601,0.806005,0.857494,0.96037,0.246394,46.970649,5,0.01,0.2
